imgIdx,id.x,duration.x,behavior.x,subject.x,time.x,id.y,duration.y,behavior.y,subject.y,time.y
3032,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.066666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.066666666667
3033,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.1,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.1
3034,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.133333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.133333333333
3035,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.166666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.166666666667
3036,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.2,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.2
3037,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.233333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.233333333333
3038,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.266666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.266666666667
3039,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.3,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.3
3040,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.333333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.333333333333
3041,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.366666666667,0908-第3组-S1S2-前测-讨论A,942.902,0.5,S1,101.366666666667
3042,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.4,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.4
3043,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.433333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.433333333333
3044,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.466666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.466666666667
3045,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.5,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.5
3046,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.533333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.533333333333
3047,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.566666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.566666666667
3048,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.6,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.6
3049,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.633333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.633333333333
3050,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.666666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.666666666667
3051,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.7,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.7
3052,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.733333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.733333333333
3053,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.766666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.766666666667
3054,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.8,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.8
3055,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.833333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.833333333333
3056,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.866666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.866666666667
3057,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.9,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.9
3058,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.933333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.933333333333
3059,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,101.966666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,101.966666666667
3060,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102
3061,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.033333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.033333333333
3062,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.066666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.066666666667
3063,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.1,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.1
3064,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.133333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.133333333333
3065,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.166666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.166666666667
3066,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.2,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.2
3067,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.233333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.233333333333
3068,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.266666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.266666666667
3069,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.3,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.3
3070,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.333333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.333333333333
3071,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.366666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.366666666667
3072,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.4,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.4
3073,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.433333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.433333333333
3074,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.466666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.466666666667
3075,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.5,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.5
3076,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.533333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.533333333333
3077,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.566666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.566666666667
3078,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.6,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.6
3079,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.633333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.633333333333
3080,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.666666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.666666666667
3081,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.7,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.7
3082,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.733333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.733333333333
3083,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.766666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.766666666667
3084,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.8,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.8
3085,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.833333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.833333333333
3086,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.866666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.866666666667
3087,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.9,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.9
3088,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.933333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.933333333333
3089,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,102.966666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,102.966666666667
3090,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103
3091,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.033333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.033333333333
3092,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.066666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.066666666667
3093,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.1,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.1
3094,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.133333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.133333333333
3095,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.166666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.166666666667
3096,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.2,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.2
3097,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.233333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.233333333333
3098,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.266666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.266666666667
3099,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.3,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.3
3100,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.333333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.333333333333
3101,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.366666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.366666666667
3102,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.4,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.4
3103,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.433333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.433333333333
3104,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.466666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.466666666667
3105,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.5,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.5
3106,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.533333333333,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.533333333333
3107,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.566666666667,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.566666666667
3108,0908-第3组-S1S2-前测-讨论-A_lzy,943.866667,0,S1,103.6,0908-第3组-S1S2-前测-讨论A,942.902,1,S1,103.6
